Issue Type,Issue ID,Parent ID,Summary,Description,Priority,Story Points,Labels,Sprint,Acceptance Criteria
Epic,EP-01,,Project Foundation,"Monorepo scaffolding, Docker, CI config, .gitignore, sidecar scaffold",Highest,11,"foundation,infra",Sprint 1,
Epic,EP-02,,Core Engine & Database,"Headless data layer with Drizzle ORM, PostgreSQL schema, repositories, services, hooks",Highest,26,"core,database",Sprint 1,
Epic,EP-03,,REST API Server,HTTP routes wrapping core services for frontend consumption,Highest,13,"server,api",Sprint 2,
Epic,EP-04,,MCP Server,"stdio MCP server with tools, resources, and prompts for editor integration",Highest,18,"mcp,integration",Sprint 2,
Epic,EP-05,,File Bridge,.decidr/ folder watcher for editor-agnostic file-based integration,High,8,"file-bridge,integration",Sprint 2,
Epic,EP-06,,Frontend — Shell & Board,"React app shell, kanban board, ticket cards, layout, stores",Highest,18,"frontend,board",Sprint 3,
Epic,EP-07,,Frontend — Ticket Detail & Reasoning,"Detail modal, diff viewer, decision tree, step-by-step logs, comments, history",Highest,26,"frontend,reasoning",Sprint 3-4,
Epic,EP-08,,Frontend — Create & Panels,"Ticket creation modal, hooks log panel, stats dashboard",High,13,"frontend,panels",Sprint 4,
Epic,EP-09,,Tauri Desktop Shell,"Native desktop window, Node.js sidecar lifecycle, system tray",Highest,13,"tauri,desktop",Sprint 5,
Epic,EP-10,,VS Code / Cursor Extension,"Sidebar panel, commands, API client for VS Code and Cursor",High,10,"extension,cursor",Sprint 5,
Epic,EP-11,,Interactive Documentation,"Doc site with live demos, API tester, schema viewer, tree demo",Medium,13,docs,Sprint 6,
Epic,EP-12,,Editor Integration & ECC,"Config files, everything-claude-code integration, agent definitions",Medium,8,"ecc,integration",Sprint 6,
Story,US-001,EP-01,"As a developer, I want a monorepo scaffold so that all packages share config and can be developed together",,Highest,3,foundation,Sprint 1,npm workspaces configured; tsconfig.base.json shared; npm install works at root; npm run dev starts server + web
Story,US-002,EP-01,"As a developer, I want a local PostgreSQL instance so that I can develop against a real database",,Highest,2,"database,docker",Sprint 1,docker compose up -d starts PostgreSQL 16; Database decidr_code created; Connection string works from Node.js
Story,US-003,EP-01,"As a developer, I want proper git configuration so that generated files are excluded",,High,1,foundation,Sprint 1,".gitignore excludes node_modules, dist, data, .cj, .env, src-tauri/binaries, pgdata"
Story,US-004,EP-01,"As a developer, I want the sidecar package scaffolded so that the Node server can be compiled to a binary later",,Medium,2,"sidecar,tauri",Sprint 1,"sidecar/ directory with package.json, tsconfig, build script; build.sh compiles with pkg"
Story,US-005,EP-01,"As a developer, I want hook scripts scaffolded so that the event system has scripts to execute",,Medium,1,hooks,Sprint 1,"hooks/ directory with SessionStart.sh, TicketCreated.sh, TicketMoved.sh, PostSave.sh"
Story,US-006,EP-02,"As a developer, I want TypeScript type definitions so that all packages share a single source of truth for data shapes",,Highest,3,"types,core",Sprint 1,"All types exported from @decidr-code/core; Ticket, Reasoning, TreeNode, LogEntry, HookEvent defined; Union string types"
Story,US-007,EP-02,"As a developer, I want a PostgreSQL schema with proper relations so that data is stored efficiently",,Highest,5,"database,schema",Sprint 1,"7 tables created; Foreign keys with CASCADE; Indexes on status, priority, confidence; JSONB for tree and logs; Clean on fresh DB"
Story,US-008,EP-02,"As a developer, I want a database connection module so that all repositories share a single client",,Highest,2,database,Sprint 1,Reads DATABASE_URL from env; Single drizzle instance exported; Handles errors gracefully
Story,US-009,EP-02,"As a developer, I want repository classes so that each table has clean CRUD operations",,Highest,8,"core,repositories",Sprint 1,Each repo under 60 lines; ticket-repo includes joins; All repos return typed results
Story,US-010,EP-02,"As a developer, I want service classes so that business logic is separated from data access",,Highest,5,"core,services",Sprint 1,Services orchestrate repos + hooks; ticket-service handles CRUD with changelog; reasoning-service validates trees
Story,US-011,EP-02,"As a developer, I want a hook execution system so that bash scripts fire on events",,High,2,"hooks,core",Sprint 1,fireHook() logs to DB AND executes bash script; 5s timeout; Failures logged but non-blocking
Story,US-012,EP-02,"As a developer, I want shared constants so that columns, priorities, tags, and node types are defined once",,High,1,"constants,core",Sprint 1,Constants exported from core; Used by all packages
